Name,Title,Name_ko,Title_ko,Name_zh,Title_zh,Name_ja,Title_ja,Name_es,Title_es,Description,Rarity,Element,Effect_type,Description_en,Description_zh,Description_ja,Description_es,no
Obsidian of Introspection,Trauma Burner,성찰의 흑요석,상처의 소멸,反思之黑曜石,创伤焚毁者,内省の黒曜石,トラウマの消滅,Obsidiana de Introspección,Quemador de Traumas,"내면의 어두운 상처와 트라우마를 심연 속으로 집어삼켜 없애버립니다. 과거의 실수가 더 이상 발목을 잡지 못하게 하며, 강철 같은 멘탈로 무장하여 어떤 심리 공격에도 굴하지 않게 합니다.",uncommon,darkness,"(비밀, 심리, 그림자 권력)","Swallows and eliminates inner wounds and traumas into the abyss, ensuring past mistakes no longer hinder the future.",将内心的阴暗伤口和创伤吞噬进深渊并消除，确保过去的错误不再阻碍持有者的现在或未来。,内面の暗い傷やトラウマを深淵の中へ飲み込み、消し去ります。過去の過ちが、現在や未来を邪魔しないようにします。,"Traga y elimina las heridas y traumas internos en el abismo, asegurando que el pasado no obstaculice el futuro.",69
Cloak of Subconscious Reading,Mind Shadow,무의식 독해의 망토,정신의 그림자,潜意识读心斗篷,心灵之影,無意識読解の外套,精神の影,Manto de Lectura Subconsciente,Sombra Mental,대화 상대의 무의식적인 욕망과 두려움을 어둠 속에서 관찰하듯 명확히 읽어냅니다. 상대가 입으로 하는 말 뒤에 숨겨진 추악한 진실이나 간절한 소망을 파악하여 심리 전술을 펼칩니다.,uncommon,darkness,"(비밀, 심리, 그림자 권력)","Clearly reads subconscious desires and fears of others as if in the dark, giving the power to lead their hearts.",像在黑暗中观察一样清晰地读取对话方的潜意识欲望和恐惧，赋予持有者引导对方心灵的力量。,会話相手の無意識的な欲望と恐怖を暗闇の中で観察するように明確に読み取り、その心をリードする力を与えます。,"Lee claramente los deseos y temores subconscientes de los demás, otorgando el poder de guiar sus corazones.",70
Mist of Anonymity,Unseen Hand,익명의 안개,보이지 않는 손,匿名之雾,幕后黑手,匿名の霧,見えざる手,Niebla de Anonimato,Mano Invisible,"거대한 일을 성취하면서도 정작 자신의 정체는 드러나지 않게 합니다. '보이지 않는 큰손'으로 활동하며 배후에서 여론과 시장을 조종하고, 정작 자신은 안전한 어둠 속에서 과실만을 챙기게 합니다.",uncommon,darkness,"(비밀, 심리, 그림자 권력)","Achieve greatness while keeping identity hidden, ruling the world from the shadows as an 'invisible big hand.'",使持有者在成就大事的同时不暴露身份，作为‘幕后大手’从阴影中统治世界。,偉業を成し遂げながらも、自身の正体は明かされないようにします。「見えない大きな手」として、影から世界を統治させます。,"Logra grandes cosas manteniendo la identidad oculta, gobernando el mundo desde las sombras como una ""gran mano invisible"".",71
Void Ledger,Untraceable Wealth,허공의 장부,추적 불가한 부,虚空账本,无法追踪之富,虚空の帳簿,追跡不能な富,Libro de Cuentas del Vacío,Riqueza Inrastreable,"국가나 권력기관이 절대 추적할 수 없는 완벽한 비밀 자산망을 구축합니다. 세금, 압류, 해킹의 위협이 전혀 없는 어둠의 경제 영토를 소유하게 하여 영원히 마르지 않는 자금줄을 보장합니다.",rare,darkness,"(비밀, 심리, 그림자 권력)","Establish a perfect secret asset network that no authority can track, protecting assets from taxes or seizures.",构建任何国家或权力机构都绝对无法追踪的完美秘密资产网，确保免受税收、扣押或黑客攻击。,国家や権力機関が決して追跡できない完璧な秘密資産網を構築し、税金、差し押さえ、ハッキングから資産を完璧に保護します。,"Establece una red secreta de activos perfecta que ninguna autoridad podrá rastrear, protegiendo bienes de impuestos o embargos.",72
Nightmare Weaver,Rival’s Phobia,악몽의 직공,경쟁자의 공포,噩梦织手,对手之恐慌,悪夢の織り手,競合の恐怖,Tejedor de Pesadillas,Fobia del Rival,"자신을 해치려는 적들에게 극심한 공포와 환각을 심어줍니다. 적들이 스스로 무너져 내리게 하며, 소지자의 이름만 들어도 전의를 상실하게 만드는 강력한 심리적 저주를 반사적으로 발동합니다.",rare,darkness,"(비밀, 심리, 그림자 권력)","Plant extreme fear and hallucinations in enemies, causing them to collapse on their own and never approach again.",在企图伤害自己的敌人心中种下极度的恐惧和幻觉，使敌人自行崩溃，不敢再次接近。,自分を害そうとする敵たちに極度の恐怖と幻覚を植え付け、自ら崩れ落ちさせ、二度と近づけないようにします。,"Siembra un miedo extremo y alucinaciones en los enemigos, haciendo que colapsen por sí mismos y nunca se atrevan a acercarse.",73
Eclipse of Bad Luck,Risk Alchemist,불운의 일식,위기 연금술사,厄运之食,风险炼金术师,厄災の日食,リスクの錬金術師,Eclipse de Mala Suerte,Alquimista de Riesgos,다가올 리스크를 사전에 감지하고 관리하여 위기를 성장의 기회로 반전시키는 강력한 위기 관리 능력을 부여합니다.,rare,darkness,"(비밀, 심리, 그림자 권력)","Detects and manages potential risks in advance, transforming challenges into strategic growth opportunities.",预先发现并管理潜在风险，将挑战转化为战略性增长机会。,迫りくるリスクを事前に感知して管理し、危機を成長の機会へと反転させる強力なリスク管理能力を付여します。,"Detecta y gestiona riesgos potenciales de antemano, transformando desafíos en oportunidades estratégicas.",74
Black Hole of Influence,Captivating Presence,영향력의 블랙홀,매혹적 존재감,影响力黑洞,迷人的存在感,影響力の暗黒孔,魅惑的な存在感,Agujero Negro de Influencia,Presencia Cautivadora,"존재감만으로 좌중의 시선을 사로잡으며, 소지자의 비전에 공감하는 사람들이 자연스럽게 모이게 하는 매력을 줍니다.",epic,darkness,"(비밀, 심리, 그림자 권력)","Captivates audiences with a strong presence, naturally attracting people who resonate with the holder's vision.",以强大的存在感吸引观众，自然地吸引与持有者愿景产生共鸣的人。,その圧倒的な存在感だけで周囲を惹きつけ、持ち主のビジョンに共感する人々が自然と集まるような魅力を与えます。,"Cautiva a las audiencias con una fuerte presencia, atrayendo naturalmente a quienes resuenan con su visión.",75
Phantom King’s Crown,Global Advisory,유령 왕의 왕관,그림자의 자문역,幻影之王冕,全球顾问,幻影王の冠,影の助言者,Corona del Rey Fantasma,Asesoría Global,전 세계의 핵심 정보를 조망하고 조율하여 보이지 않는 곳에서 세상의 긍정적인 흐름을 이끄는 조력자가 되게 합니다.,epic,darkness,"(비밀, 심리, 그림자 권력)","Oversees and coordinates global information from behind the scenes, driving positive world trends as a key advisor.",在幕后监督并协调全球信息，作为关键顾问推动积极的世界潮流。,世界中の核心情報を俯瞰して調整し、見えない場所から世界の肯定的な流れを導く助言者となります。,"Supervisa y coordina la información global tras bambalinas, impulsando tendencias mundiales positivas como asesor.",76
Singularity Stone,Reality Eraser,특이점의 돌,현실의 말소자,奇点石,现实抹除者,特異点の石,現実の抹消者,Piedra de Singularidad,Borrador de la Realidad,"자신에게 방해되는 존재나 사건을 현실에서 마치 없었던 일처럼 말끔히 지워버립니다. 인과율을 왜곡하여 소지자의 뜻에 반하는 과거와 미래를 소멸시키고, 오직 자신만을 위한 어둠의 왕국을 건설합니다.",legendary,darkness,"(비밀, 심리, 그림자 권력)","Erase hindering existences or events from reality as if they never happened, granting power over causality.",将阻碍自己的存在或事件从现实中抹去，仿佛从未发生过一般，赋予操纵因果关系的权力。,邪魔な存在や事件を、現実からまるでなかったことのように消し去ります。因果律を操作する神のごとき権限を与えます。,"Borra existencias o eventos obstaculizadores de la realidad como si nunca hubieran sucedido, otorgando poder sobre la causalidad.",77
God of the Void,Environmental Mastery,허공의 신,환경 적응력,虚空之神,环境掌控,虚空の神,環境適応能力,Dios del Vacío,Maestría Ambiental,어떤 낯선 환경에서도 빠르게 적응하여 자신의 역량을 100% 발휘하며 삶과 시간의 제약을 유연하게 넘어섭니다.,legendary,darkness,"(비밀, 심리, 그림자 권력)","Swiftly adapts to any environment, fully realizing one's potential and flexibly overcoming physical or temporal constraints.",迅速适应任何环境，充分发挥自身潜力，灵活克服物理或时间限制。,いかなる不慣れな環境にも素早く適応して自身の能力を100%発揮し、生と時間の制約を柔軟に乗り越えます。,"Se adapta rápidamente a cualquier entorno, realizando plenamente su potencial y superando limitaciones físicas.",78
Ancestral Bead,Legacy Wisdom,조상의 구슬,지혜의 유산,祖先之珠,智慧传承,先祖の珠,知恵の遺産,Cuenta Ancestral,Sabiduría del Legado,역사와 경험 속에 녹아있는 지혜를 활용하여 중요한 순간마다 올바른 결정을 내리고 사고를 예방하는 가호를 얻습니다.,common,spirit,"(연결, 카르마, 유산)",Leverages historical wisdom and experience to make sound decisions and stay protected at critical moments.,利用历史智慧和经验，在关键时刻做出明智决定并获得保护。,歴史と経験の中に溶け込んだ知恵を活用し、重要な瞬間ごとに正しい決정을下して事故を未然に防ぐ加護を得ます。,Aprovecha la sabiduría histórica para tomar decisiones acertadas y mantenerse protegido en momentos críticos.,79
Spirit-Bell of Empathy,Heart Sync,공감의 방령,마음의 동기화,共鸣之灵铃,心灵同步,共鳴の鈴,心の同期,Campana de Empatía,Sincronización del Corazón,동물의 감정이나 식물의 생명력을 느끼고 소통하게 합니다. 반려동물과의 깊은 유대감을 형성하고 자연의 에너지를 흡수하여 신체 회복력을 높이는 힐링의 권능을 부여합니다.,common,spirit,"(연결, 카르마, 유산)","Communicate with the emotions of animals and plants, forming deep bonds and healing the mind through nature.",感受并沟通动物的情感或植物的生命力，与宠物建立深厚纽带，通过自然治愈心灵。,動物の感情や植物の生命力を感じ、疎通できるようにします。ペットとの深い絆を築き、自然を通じて心を治癒します。,"Se comunica con las emociones de animales y plantas, formando vínculos profundos y sanando la mente a través de la naturaleza.",80
Thread of Gratitude,Positive Feedback,감사의 실타래,긍정적 보답,感恩之线,积极反馈,感謝の糸,肯定的回帰,Hilo de Gratitud,Retroalimentación Positiva,타인에게 베푼 작은 친절이 나중에 10배의 보답으로 돌아오게 합니다. 일상 속에서 적을 만들지 않고 모든 인연을 자산으로 만드는 선한 선순환의 운을 형성합니다.,common,spirit,"(연결, 카르마, 유산)","Ensure small kindnesses return as 10-fold rewards, creating a network of 'good connections' that prevents enemies.",确保对他人施予的小善举在日后获得10倍的回报，在日常生活中建立‘善缘’网络，避免树敌。,他人に施した小さな親切が、後に10倍の報いとなって返るようにします。日常生活で「善縁」を積み、敵を作らないようにします。,"Asegura que la amabilidad regrese como una recompensa de 10 veces, creando una red de conexiones que evita enemigos.",81
Amulet of Fated Allies,Soul Mate Magnet,숙명적 동료의 부적,영혼의 반려자 자석,宿命盟友符,灵魂伴侣磁石,宿命の仲間の守り札,魂の伴侶の磁石,Amuleto de Aliados Fatídicos,Imán de Almas Gemelas,인생을 바꿀 진정한 스승이나 평생의 반려자를 운명적으로 만나게 합니다. 수억 명의 인구 중에서도 소지자의 영혼과 공명하는 최적의 파트너를 정확한 타이밍에 끌어당깁니다.,uncommon,spirit,"(연결, 카르마, 유산)","Destiny leads to meeting a true mentor or life partner, achieving a miraculous encounter among billions.",命运般地遇到能改变人生的真导师或终身伴侣，在数亿人口中实现奇迹般的相遇。,人生を変える真の師匠や生涯の伴侶に運命的に出会わせます。数億人の中から、奇跡のような出会いを実現させます。,"El destino lo guía a conocer a un mentor verdadero o al compañero de vida, logrando un encuentro milagroso entre miles de millones.",82
Aura of Mentorship,Wisdom Transmission,전수의 오라,지혜의 전파,导师之光,智慧传承,導きの威光,知恵の伝播,Aura de Mentoría,Transmisión de Sabiduría,"자신의 지식과 가치관을 타인에게 전수할 때 깊은 영적 울림을 줍니다. 소지자의 가르침을 받은 제자들은 사회 각층에서 성공하며, 소지자를 정신적 지주로 모시는 거대한 학파를 형성합니다.",uncommon,spirit,"(연결, 카르마, 유산)","Create a deep spiritual resonance when teaching others, turning those who receive the wisdom into lifelong followers.",在向他人传授知识和价值观时产生深层的心灵共鸣，使接受持有者教诲的人终身追随。,自身の知識や価値観を他人に伝授する際、深い霊的な響きを与えます。教えを受けた人々を生涯の信奉者に変えます。,"Crea una resonancia espiritual profunda al enseñar a otros, convirtiendo a quienes reciben su sabiduría en seguidores de por vida.",83
Karmic Balance Stone,Justice Scale,인과의 균형석,정의의 저울,因果平衡石,正义之秤,因果の均衡石,正義の天秤,Piedra de Equilibrio Kármico,Balanza de Justicia,"나쁜 짓을 한 자들에게는 즉각적인 천벌을, 선한 자에게는 상을 내리는 인과의 법칙을 소지자 주변에 강화합니다. 소지자를 모함하는 자는 반드시 자멸하게 되는 영적인 보호막입니다.",uncommon,spirit,"(연결, 카르마, 유산)",Exercise the law of causality to bring immediate divine punishment to evildoers and rewards to the good.,行使因果法则，对作恶者施以即时的天罚，对向善者给予奖赏，维护道德秩序。,悪人には即座に天罰を、善人には賞を与える因果の法則を司ります。霊的な秩序を正す神の代行者として活動します。,Ejerce la ley de la causalidad para traer castigo divino inmediato a los malhechores y recompensas a los buenos.,84
Eternal Echo Crystal,Legacy Builder,영원한 메아리 수정,업적의 건설자,永恒回响水晶,功绩建筑师,永遠の残響水晶,業績の構築者,Cristal de Eco Eterno,Constructor de Legados,소지자가 죽은 뒤에도 수백 년 동안 잊히지 않을 업적을 남기게 돕습니다. 소지자의 이름이 역사 교과서에 새겨지고 그 사상이 인류 문명의 기틀이 되는 영원불멸의 명성을 보장합니다.,rare,spirit,"(연결, 카르마, 유산)","Leave achievements that will not be forgotten for centuries, engraving the holder's name in history as a symbol.",帮助持有者在死后数百年间留下不被遗忘的成就，将名字铭刻在历史中，成为永恒的象征。,死後数百年の間忘れられない業績を残すのを助けます。名前を歴史に刻み、永遠の象徴とさせます。,"Ayuda a dejar logros que no serán olvidados durante siglos, grabando su nombre en la historia como un símbolo eterno.",85
Soul-Bound Guard,Guardian Spirit,영혼 결속 파수꾼,수호령,魂缚守卫,守护灵,魂に縛られし守護者,守護霊,Guardia de Almas Vinculadas,Espíritu Guardián,"소지자의 곁을 지키는 강력한 영적 보디가드를 소환합니다. 물리적인 테러나 보이지 않는 저주로부터 소지자의 영혼과 육체를 완벽히 방어하며, 위기 시 소지자를 안전한 곳으로 강제 전송합니다.",rare,spirit,"(연결, 카르마, 유산)","Summon powerful spiritual bodyguards to protect the side, blocking physical attacks and invisible curses.",召唤守护在持有者身边的强大精神保镖，完美阻挡物理攻击或看不见的诅咒与负能量。,持ち主の側を守る強力な霊的ボディガードを召喚します。物理的な攻撃や目に見えない呪い、負のエネルギーを完璧に遮断します。,"Invoca poderosos guardaespaldas espirituales para proteger su lado, bloqueando ataques físicos y maldiciones invisibles.",86
Dream-Weaver Pearl,Lucid Life,꿈을 짜는 진주,자각의 삶,织梦珍珠,清晰人生,夢織りの真珠,明晰な生,Perla Tejedora de Sueños,Vida Lúcida,"꿈속에서 미래의 사건을 미리 체험하고 대비하게 합니다. 꿈과 현실의 경계에서 얻은 정보를 바탕으로 완벽한 인생 시나리오를 설계하며, 매일 아침 예지력을 갖춘 채 하루를 시작합니다.",rare,spirit,"(연결, 카르마, 유산)","Pre-experience and prepare for future events in dreams, using boundary information to ensure success.",在梦中预先体验并应对未来的事件，利用从梦境与现实边界获得的信息确保成功。,夢の中で未来の事件を事前に体験し備えさせます。夢と現実の境界で得た情報を利用し、百戦百勝の成功を収めさせます。,"Pre-experimenta y se prepara para eventos futuros en sueños, utilizando información mística para asegurar el éxito.",87
Harmony of the Spheres,Universal Sync,천체의 조화,우주적 동기화,天体和谐,宇宙同步,天体の調和,宇宙的な同期,Armonía de las Esferas,Sincronización Universal,"우주의 흐름과 완벽하게 동기화됩니다. 하는 일마다 타이밍이 기가 막히게 맞아떨어지며, 전 세계 모든 상황이 소지자의 성공을 돕기 위해 움직이는 듯한 '초월적 운'의 상태에 진입합니다.",epic,spirit,"(연결, 카르마, 유산)","Synchronize perfectly with the flow of the universe, ensuring impeccable timing and the world's help in all tasks.",与宇宙的流动完美同步，使所做的每一件事都时机恰当，全世界都助力持有者成功。,宇宙の流れと完璧に同期します。することなすことタイミングが驚くほど合い、全世界が成功を助けるようになります。,"Se sincroniza con el flujo del universo, asegurando un tiempo impecable y la ayuda del mundo en cada tarea.",88
Sovereign Soul Jewel,Kingmaker’s Aura,주권자의 영혼 보석,제왕을 만드는 위엄,主权灵魂宝石,造王者之光,主権の魂石,キングメーカーの威光,Joya del Alma Soberana,Aura de Creador de Reyes,"소지자가 선택한 인물을 왕으로 만들거나 몰락시킬 수 있는 영적 권위를 가집니다. 정치적, 사회적 지도자들의 영혼을 지배하여 그들이 소지자의 의지대로 움직이게 만드는 배후의 지배자가 됩니다.",epic,spirit,"(연결, 카르마, 유산)","Possess spiritual authority to make or break leaders, occupying the position of a 'kingmaker' in society.",拥有使持有者选定的人物成为领袖或使其垮台的属灵权威，在政治和社会领域担任‘造王者’。,選んだ人物を王にしたり没落させたりできる霊的な権威を持ちます。政治的・社会的な「キングメーカー」の座を占めます。,"Posee la autoridad espiritual para encumbrar o hundir líderes, ocupando la posición de un ""creador de reyes"" en la sociedad.",89
Dharma Overlord Jewel,Karma Dictator,법도의 군주 보석,업보의 지배자,法度领主宝石,业力独裁者,法度の君主の宝石,業の支配者,Joya del Soberano del Dharma,Dictador del Karma,"인류 전체의 카르마(업보)를 조정하고 심판합니다. 세상의 도덕적 기준을 재정립하고 선과 악의 전쟁에서 최종 승리자를 결정하며, 영적 질서를 바로잡는 신의 대행자로 활동합니다.",legendary,spirit,"(연결, 카르마, 유산)","Adjust and judge the karma of humanity, redefining moral standards and balancing good and evil as a representative.",调整并审判全人类的业力，重新定义世界的道德标准，平衡善恶并维护属灵秩序。,人類全体のカルマを調整し審判します。世界の道徳的基準を再定義し、善と悪の均衡を保つ霊的秩序を司ります。,"Ajusta y juzga el karma de la humanidad, redefiniendo los estándares morales y equilibrando el bien y el mal.",90
One-Soul Diamond,Empathetic Harmony,일체 영혼의 금강석,공감의 조화,一体灵魂之钻,共情和谐,一体なる魂の金剛石,共感の調和,Diamante de Alma Única,Armonía Empática,타인과 깊은 정서적 유대를 형성하고 갈등을 평화롭게 해결하여 새로운 차원의 협력과 평화로운 문명을 창조하게 돕습니다.,legendary,spirit,"(연결, 카르마, 유산)","Fosters deep emotional bonds and peaceful conflict resolution, enabling high-level collaboration for a better world.",培养深层的情感联系与和平的冲突解决，实现高水平的协作以创造更好的世界。,他者と深い情緒的連帯を築き、葛등を平和的に解決して、新しい次元の協力と平和な文明の創造を助けます。,"Fomenta vínculos emocionales profundos y la resolución pacífica de conflictos, permitiendo una colaboración de alto nivel.",91
Puzzle-Piece Agate,Logical Link,결합의 마노,논리적 연결,谜团联结玛瑙,逻辑关联,連結の瑪瑙,論理的な結合,Ágata de Vínculo Lógico,Conexión Lógica,"흩어진 정보들을 하나로 엮어 완벽한 결론을 도출합니다. 추리력과 분석력을 극대화하여 범죄 수사, 복잡한 데이터 분석, 어려운 수학 문제를 유희처럼 해결하게 돕습니다.",common,mind,"(초지능, 기억, 정신 전략)","Weave scattered information to derive perfect conclusions, solving complex problems like a game.",将零散的信息交织在一起得出完美的结论，极速提升推理和分析能力，像游戏一样解决难题。,散らばった情報を一つに編み上げ、完璧な結論を導き出します。推理力と分析力を極大化し、難題をゲームのように解決させます。,"Entrelaza información dispersa para derivar conclusiones perfectas, resolviendo problemas complejos como un juego.",92
Stoic Marble,Dopamine Guard,부동의 대리석,도파민 방어,沉稳大理石,多巴胺防御,不動の大理石,ドーパミン防衛,Mármol Estoico,Defensa de Dopamina,숏폼 영상이나 게임 같은 자극적인 유혹으로부터 뇌를 보호합니다. 불필요한 도파민 분비를 억제하고 오직 가치 있는 일에서만 즐거움을 느끼게 하여 철저한 자기 주도적 삶을 살게 합니다.,common,mind,"(초지능, 기억, 정신 전략)","Protect the brain from stimulating temptations like short-form videos, allowing a self-directed life.",保护大脑免受短视频或游戏等刺激性诱惑，抑制不必要的多巴胺，让持有者过上自主的生活。,刺激的な誘惑から脳を保護します。不必要なドーパミン分泌を抑制し、価値あることだけで喜びを感じる人生を送らせます。,"Protege el cerebro de tentaciones estimulantes como videos cortos, permitiendo una vida autodirigida y enfocada.",93
Cerebro-Sparker,Quick Wit,두뇌의 촉발자,천재적 순발력,大脑触发者,天才机敏,脳の火付け役,天才的な機転,Spark Cerebral,Ingenio de Genio,어떤 압박 면접이나 돌발 상황에서도 1초 만에 재치 있는 대답을 내놓게 합니다. 뇌 회전 속도를 가속하여 말싸움에서 절대 지지 않고 유머로 좌중을 장악하는 천재적 순발력을 줍니다.,common,mind,"(초지능, 기억, 정신 전략)","Provide a witty answer in 1 second under any pressure, dominating the audience with genius-level quickness.",在任何压力面试或突发状况下都能在1秒内给出机智的回答，赋予主宰全场的幽默感。,どんな圧迫面接や突発的な状況でも、1秒で機転の利いた回答を出させます。ユーモアで座中を掌握する天才的順발力を授けます。,"Brinda respuestas ingeniosas en 1 segundo bajo presión, dominando a la audiencia con una rapidez mental de genio.",94
Mind-Palace Key,Infinite Storage,기억의 궁전 열쇠,무한한 저장,记忆宫殿之钥,无限存储,記憶の宮殿の鍵,無限の貯蔵,Llave del Palacio Mental,Almacenamiento Infinito,"읽는 모든 책과 문서, 만나는 모든 사람의 얼굴을 무한한 뇌 용량 속에 폴더별로 저장합니다. 잊고 싶은 것만 골라 지우고, 필요한 정보는 0.1초 만에 인출하는 완벽한 기억술을 선사합니다.",uncommon,mind,"(초지능, 기억, 정신 전략)","Store every book, document, and face met in a limitless brain capacity, retrieving information in 0.1 seconds.",将阅读的所有书籍和文档、见过的所有人脸在无限的大脑容量中按文件夹存储，实现0.1秒调取。,読むすべての本や文書、会うすべての人の顔を無限の脳容量の中に保存し、必要な情報を0.1秒で引き出す完璧な記憶術を授けます。,"Almacena cada libro, documento y rostro en una capacidad cerebral ilimitada, recuperando información en 0,1 segundos.",95
Lapis of Polyglot,Language Master,다국어의 청람석,언어의 달인,多语青金石,语言大师,多言語の青藍石,言語の達人,Lapislázuli Políglota,Maestro de Lenguas,"전 세계 모든 언어의 구조를 본능적으로 파악합니다. 수십 개의 외국어를 원어민 수준으로 구사하게 하며, 프로그래밍 언어나 기계어까지 마스터하여 기술적 한계를 뛰어넘는 지능을 부여합니다.",uncommon,mind,"(초지능, 기억, 정신 전략)","Instinctively grasp the structure of all languages, mastering dozens of foreign tongues and machine code.",本能地掌握全球所有语言的结构，精通数十种外语，并掌握编程或机器语言。,全世界のあらゆる言語の構造を本能的に把握します。数十の外国語をネイティブレベルで操り、機械語までマスターさせます。,"Capta instintivamente la estructura de todos los idiomas, dominando docenas de lenguas y códigos de máquina.",96
Analytical Prism,Pattern Seeker,분석의 프리즘,패턴 추적자,分析棱镜,模式寻找者,분석의 프리즘,パターンの追跡者,Prisma Analítico,Buscador de Patrones,복잡한 사회 현상이나 주식 시장의 차트 이면에 숨겨진 패턴을 시각화하여 보여줍니다. 남들이 혼란스러워할 때 혼자서 승리의 방정식을 찾아내어 압도적인 수익을 올리게 돕습니다.,uncommon,mind,"(초지능, 기억, 정신 전략)","Visualize hidden patterns behind complex social phenomena or stock charts, capturing the 'golden path' others miss.",将复杂社会现象或股市图表背后的隐藏模式可视化，让持有者看到他人错过的‘黄金路径’。,複雑な社会現象や株式市場のチャートの裏に隠されたパターンを可視化し、他人が見逃す「黄金の道」を捉えさせます。,"Visualiza patrones ocultos detrás de fenómenos sociales complejos o gráficos bursátiles, viendo el ""camino dorado"".",97
Cerebro-Crystalline Core,Singularity Intellect,지능의 결정핵,특이점의 정신,智能晶核,奇点思维,知能の結晶核,特異点の精神,Intelecto Cristalino,Mente de Singularidad,"뇌의 신경망을 광섬유 수준으로 가속하여 현대의 AI보다 빠른 연산 능력을 갖게 합니다. 수조 개의 변수를 동시에 고려하여 미래를 예측하며, 지적인 우월함만으로 전 세계를 지배합니다.",rare,mind,"(초지능, 기억, 정신 전략)","Accelerate neural networks to the level of optical fibers, granting computational abilities faster than modern AI.",将大脑神经网加速至光纤水平，拥有比现代AI更快的运算能力，瞬间解决无数变量。,脳の神経網を光ファイバーレベルに加速させ、現代のAIより速い演算能力を持たせ、無数の変数を瞬時に解決させます。,"Acelera las redes neuronales al nivel de fibras ópticas, otorgando habilidades computacionales más rápidas que la IA moderna.",98
Blueprints of the Architect,Master Strategy,설계자의 청사진,마스터 전략,建筑师蓝图,大师战略,設計者の設計図,マスター戦略,Planos del Arquitecto,Estrategia Maestra,"10년, 20년 뒤의 미래를 설계하는 정교한 인생 설계도를 머릿속에 상시 띄워줍니다. 현재의 작은 행동이 미래에 어떤 결과를 초래할지 정확히 계산하여 단 한 치의 오차도 없는 성공을 설계합니다.",rare,mind,"(초지능, 기억, 정신 전략)","Display a sophisticated life blueprint for decades in the future, making every current action a step toward destiny.",在脑海中常驻未来10年、20年的精细人生蓝图，使现在的每一个行动都成为通向伟大命运的一步。,未来数十年の人生設計図を脳内に常時表示させます。現在のすべての行動が、偉大な運命への確かな一歩となります。,"Muestra un plano de vida sofisticado para las próximas décadas, haciendo que cada acción sea un paso hacia el destino.",99
Mnemosyne’s Mirror,Truth Defector,기억의 화석,지식의 보관소,记忆之石,知识档案,記憶の化石,知識の記録庫,Fósil del Recuerdo,Archivo de Conocimiento,"상대방이 하는 말이 논리적인지, 거짓인지, 숨은 의도가 무엇인지 실시간으로 분석하여 경고창을 띄워줍니다. 사기꾼이나 가스라이팅을 시도하는 자들을 지적으로 굴복시키고 진실만을 수호합니다.",rare,mind,"(초지능, 기억, 정신 전략)","Real-time analysis of the logic or deception in someone's words, displaying mental warning windows to avoid lies.",实时分析对方的话语是合乎逻辑还是欺骗，在脑海中显示警告窗口，避免被任何谎言愚弄。,相手の言葉が論理的か嘘かをリアルタイムで分析し、脳内に警告ウィンドウを表示させ、いかなる欺瞞も許しません。,"Analiza en tiempo real la lógica o el engaño en las palabras ajenas, mostrando ventanas de advertencia mental.",100
Akashic Access Jewel,Infinite Wisdom,아카식 레코드,보편적 진리,阿卡西记录,普遍真理,アカシックレコード,普遍的な真理,Registro Akáshico,Verdad Universal,인류가 쌓아온 모든 지식의 집합체인 '아카식 레코드'에 직접 접속합니다. 아직 발견되지 않은 미래의 과학 기술이나 예술적 기법을 가져와 현재에 구현하는 시대의 선구자가 됩니다.,epic,mind,"(초지능, 기억, 정신 전략)","Directly access the 'Akashic Records' containing all human knowledge, mastering undiscovered technologies or history.",直接访问‘阿卡西记录’，即全人类知识的集合体，轻松掌握未发现的技术或被遗忘的历史。,人類が積み上げてきた全知識の集合体「アカシックレコード」に接続し、未発見の技術や歴史を容易にマスターします。,"Accede directamente a los ""Registros Akáshicos"" de todo el conocimiento humano, dominando tecnologías no descubiertas.",101
Neural Overdrive,Reality Projection,투사의 정석,현실 투영,投影精石,现实投影,投影の精石,現実投影,Piedra de Esencia de Proyección,Proyección de Realidad,"소지자의 상상력을 물리적 현실로 투사하는 계산식을 완성합니다. 머릿속으로 시뮬레이션한 비즈니스나 공학 설계가 현실에서 그대로 작동하며, 생각만으로 세상을 조립하는 지적 창조주가 됩니다.",epic,mind,"(초지능, 기억, 정신 전략)","Project imagination into physical reality with perfect calculation formulas, ensuring 100% success of simulated ideas.",完成将持有者的想象力投射到物理现实的计算公式，使脑海中模拟的业务或发明获得100%成功。,想像力を物理的現実に投影する計算式を完成させ、頭の中でシミュレーションしたビジネスや発明を100%成功させます。,"Proyecta la imaginación en la realidad física con fórmulas perfectas, asegurando el éxito total de las ideas simuladas.",102
